"filename", "language", "Properties", "Python", "Batch", "HTML", "Markdown", "C++", "PowerShell", "pip requirements", "Visual Basic", "XSL", "JavaScript", "JSON", "reStructuredText", "C", "Shell Script", "XML", "comment", "blank", "total"
"c:\Users\jessi\Desktop\projects\reptile\Readme.md", "Markdown", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\jessi\Desktop\projects\reptile\note\【废】虚拟环境相关配置.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\jessi\Desktop\projects\reptile\note\框架搭建流程.md", "Markdown", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"c:\Users\jessi\Desktop\projects\reptile\note\源和切换源.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\jessi\Desktop\projects\reptile\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\scrapy.cfg", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 12
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\items.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 5, 48
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\middlewares.py", "Python", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 33, 190
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\pipelines.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 32
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\settings.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 18, 113
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\spiders\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\spiderMain\spiders\tax.py", "Python", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 82
"c:\Users\jessi\Desktop\projects\reptile\spiderMain\tianjin.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\SSL.py", "Python", 0, 1433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1109, 330, 2872
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\__init__.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 32
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\_util.py", "Python", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 26, 125
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\crypto.py", "Python", 0, 1595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1320, 415, 3330
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\debug.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 41
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\rand.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 41
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\OpenSSL\version.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 29
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 52, 228
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\__init__.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 75
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\ado_consts.py", "Python", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 21, 282
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\adodbapi.py", "Python", 0, 877, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 109, 1224
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\apibase.py", "Python", 0, 530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 149, 795
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\examples\db_print.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 73
"c:\Users\jessi\Desktop\projects\reptile\spider_env\Lib\site-packages\adodbapi\examples\db_table_names.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 21
